"index","Data","Hora","PRECIPITACIO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRESSIO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)","PRESSIO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)","RADIACAO GLOBAL (Kj/m)","TEMPERATURA DO AR - BULBO SECO, HORARIA (C)","TEMPERATURA DO PONTO DE ORVALHO (C)","TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C)","TEMPERATURA MINIMA NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C)","UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)","UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIRECCIO HORARIA (gr) ( (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)","region","state","station","station_code","latitude","longitude","height"
170413,2021-01-21,13:00:00,0,1007.7,1007.7,1007.4,635,25.5,23.1,25.5,24.7,23.7,23,91,86,87,99,3.1,1.6,25.1,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170419,2021-01-21,19:00:00,0,1004.6,1005.6,1004.6,1406,26,21.1,26.5,25.4,22.8,20.9,81,73,75,86,5.7,2,25.95,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170425,2021-01-22,01:00:00,0,1004.9,1004.9,1004.1,0,24.5,22.4,24.6,24.4,22.4,22.2,88,86,88,73,2.7,1.1,24.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170431,2021-01-22,07:00:00,0,1003.8,1004.2,1003.8,0,23.6,21.3,23.9,23.6,21.4,21.2,87,85,87,81,2.3,0.9,23.75,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170437,2021-01-22,13:00:00,0,1007.5,1007.5,1007,1336,27.4,21.8,27.4,25.7,22.8,21.1,81,70,72,111,3.4,1.4,26.55,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170443,2021-01-22,19:00:00,0,1002.9,1003.9,1002.9,2857,30.9,20,31.7,30.4,21.7,19,57,48,52,78,7.4,3.1,31.05,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170449,2021-01-23,01:00:00,0,1004.9,1004.9,1003.6,0,25.6,22.4,25.9,25.5,22.8,22.4,83,81,83,77,5.1,1.7,25.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170455,2021-01-23,07:00:00,0,1004.3,1004.7,1004.3,0,24,22.4,24.4,24,22.4,22.3,91,88,91,74,3,1.1,24.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170461,2021-01-23,13:00:00,0,1006.7,1006.7,1006.2,1888,28.3,21.5,28.7,26.9,22.5,21.3,75,66,67,75,6.2,3.1,27.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170467,2021-01-23,19:00:00,0,1001.7,1003.1,1001.7,2775,30.8,21.2,31.6,29.2,24.2,20.9,72,54,57,76,6.2,2.6,30.4,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170473,2021-01-24,01:00:00,0,1003,1003,1002.3,0,27.7,23.2,27.8,27.2,23.3,22.8,78,74,77,63,1.8,0.8,27.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170479,2021-01-24,07:00:00,0,1002.6,1003.1,1002.6,0,25.7,23.6,25.8,25.6,23.9,23.6,90,88,88,348,1.2,0.4,25.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170485,2021-01-24,13:00:00,0,1006.1,1006.1,1005.6,1177,28.8,23.3,29.7,27.6,24.7,22.6,80,71,72,329,3.5,1,28.65,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170491,2021-01-24,19:00:00,0,1002,1003.2,1002,818,29.5,22.5,29.6,28.8,23.2,22.3,71,64,66,255,4,1.6,29.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170497,2021-01-25,01:00:00,0,1004.1,1004.1,1003.3,0,26.1,23.9,26.5,26.1,24.1,23.8,88,85,88,189,3.4,1.5,26.3,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170503,2021-01-25,07:00:00,0,1003,1003.4,1003,0,25.1,23.6,25.3,25.1,23.7,23.5,91,90,91,230,3.3,1.4,25.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170509,2021-01-25,13:00:00,6.4,1006.8,1007.2,1006.1,384,24.4,23.3,26.3,24.2,23.4,22.6,94,83,94,249,4.4,0.5,25.25,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170515,2021-01-25,19:00:00,0,1001.3,1002.7,1001.3,2172,29.7,21.8,31,29.7,23.5,21.3,66,59,63,45,4.7,1.1,30.35,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170521,2021-01-26,01:00:00,0,1003.1,1003.2,1002.4,0,27.3,22.4,27.4,26.6,22.8,22.3,80,74,75,44,2.8,1.3,27,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170527,2021-01-26,07:00:00,0,1002.9,1002.9,1002.7,0,24.6,22.9,25,24.3,23,22.6,91,87,90,35,1.6,0.8,24.65,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170533,2021-01-26,13:00:00,0,1006.2,1006.3,1005.5,1537,29.1,22.8,29.7,28,24,22.1,76,67,69,337,3.1,1,28.85,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170539,2021-01-26,19:00:00,10.8,1003.7,1003.7,1003.2,503,24.3,23.1,25.3,24.3,24.1,23.1,94,91,93,76,7.9,2.8,24.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170545,2021-01-27,01:00:00,0,1003.7,1003.7,1002.5,0,24.4,23,24.4,23.9,23.2,22.8,94,92,92,77,1.6,1,24.15,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170551,2021-01-27,07:00:00,0,1003.3,1004,1003.3,0,23.3,22.3,23.9,23.3,22.6,22.3,94,92,94,50,1.3,0.3,23.6,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170557,2021-01-27,13:00:00,0.8,1007.2,1007.2,1006.8,538,24.5,23.5,24.6,23.9,23.5,22.2,94,89,94,317,6.1,0.8,24.25,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170563,2021-01-27,19:00:00,0,1002.2,1003.2,1002.2,1544,29.1,22.4,30.1,29,23.4,22.2,69,63,67,130,4.1,1.8,29.55,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170569,2021-01-28,01:00:00,0,1003,1003,1002.4,0,26.6,23.8,26.9,26.5,23.8,23.6,84,82,84,101,2.5,1.1,26.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170575,2021-01-28,07:00:00,0,1002.4,1002.8,1002.4,0,24.9,23.6,25.2,24.6,23.6,23.3,93,90,93,101,2,0.4,24.9,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170581,2021-01-28,13:00:00,2.8,1005.7,1005.7,1005.2,203,23.9,22.8,23.9,23.1,22.8,22.2,95,94,94,73,3,1.1,23.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170587,2021-01-28,19:00:00,0,1001.7,1002.6,1001.7,781,27.2,23.7,27.6,26.5,24.2,23.1,87,79,81,180,1.6,0.3,27.05,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170593,2021-01-29,01:00:00,0,1003.8,1003.8,1003,0,25.3,24.2,25.3,24.9,24.2,23.8,94,93,94,49,2,1,25.1,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170599,2021-01-29,07:00:00,0,1002.5,1003.1,1002.4,0,24,22.9,24.6,24,23.6,22.9,95,93,94,58,1.6,0.5,24.3,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170605,2021-01-29,13:00:00,0.2,1005.7,1005.7,1004.9,724,26.7,22.8,26.7,25.2,23.4,22.1,86,79,79,84,1.9,0.5,25.95,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170611,2021-01-29,19:00:00,2.2,1002.2,1003.8,1002.2,324,24,22.6,24.2,23.6,22.7,22.2,93,91,92,54,4.6,1.6,23.9,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170617,2021-01-30,01:00:00,0,1004.2,1004.2,1003.2,0,23.8,22.9,23.9,23.8,23,22.9,95,95,95,81,1.2,0.3,23.85,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
